Support_Ticket_ID,Issue_Description
1,My watch won't turn on even after charging overnight. I've tried different charging cables without success.
2,I was charged twice for my ZenTime Pro purchase. Please refund the duplicate charge of $299.99.
3,The tracking shows my order was delivered but I never received it. Package is missing from my doorstep.
4,Battery drains completely within 4 hours even with minimal use. This is unacceptable for a new watch.
5,My monthly subscription fee increased without any notification. Why am I being charged $14.99 instead of $9.99?
6,Touch screen is unresponsive in certain areas. Right side of screen doesn't register my taps.
7,Received the wrong color watch. Ordered Midnight Black but received Sky Blue instead.
8,Watch shows fully charged but shuts down at 75% battery remaining consistently.
9,I cancelled my subscription last month but was charged again. Need immediate refund.
10,Heart rate monitor giving inconsistent readings and  sometimes is showing  200+ BPM when I'm resting.
11,Package was delivered to wrong address according to courier. Need help locating my order.
12,Battery swelled up and pushed screen out of frame. Watch is now unusable and potentially dangerous.
13,My credit card was charged for a premium feature I never activated. Need this reversed ASAP.
14,Watch keeps disconnecting from my phone every few minutes making notifications useless.
15,Only received the watch without the charger that was supposed to be included in the package.
16,Battery life decreased dramatically after latest firmware update. Used to last 3 days and  now barely 12 hours.
17,I was promised a discount code after survey completion but it doesn't work at checkout.
18,Weather app constantly crashes and forces watch to restart whenever I try to check forecast.
19,The protective screen film was missing from my package. It was listed as included in the bundle.
20,Watch gets extremely hot while charging and battery percentage doesn't increase past 20%.
21,I was charged for express shipping but my order took 2 weeks to arrive. Please refund shipping cost.
22,Microphone not working during calls. People can't hear me when I speak through the watch.
23,Received open box item with fingerprints and scratches. I paid for a new product.
24,Battery randomly jumps from 60% to 5% without warning  causing watch to power off.
25,Annual subscription renewed automatically despite turning off auto-renewal in settings.
26,Watch face keeps changing randomly throughout the day without me touching any settings.
27,My limited edition ZenTime was supposed to come with a certificate of authenticity but it wasn't in the box.
28,Battery expanded in the heat and cracked the back casing of my watch during outdoor run.
29,My account shows I have an outstanding balance of $45 but I've already paid this amount.
30,GPS tracking is completely inaccurate  showing me 2 miles away from my actual location.
31,Received only one watch band instead of the two different sizes advertised in the product description.
32,Battery won't hold a charge for more than an hour after only 3 months of use.
33,I was charged international transaction fees even though both shipping and billing addresses are domestic.
